path,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50
train/n02979186/n02979186_16227.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_553.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_10098.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_4479.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_13053.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_15766.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_5853.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_9328.jpeg,n02979186,n02979186,n03417042,n03394916
train/n02979186/n02979186_3716.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_2607.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_23188.jpeg,n02979186,n02979186,n03028079,n03028079
train/n02979186/n02979186_8956.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_8587.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_333.jpeg,n02979186,n02979186,n03417042,n02979186
train/n02979186/n02979186_7529.jpeg,n02979186,n03417042,n02979186,n02979186
train/n02979186/n02979186_8875.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_16837.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_27246.jpeg,n02979186,n02979186,n03000684,n02979186
train/n02979186/n02979186_5856.jpeg,n02979186,n03445777,n02979186,n02979186
train/n02979186/n02979186_2625.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11063.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_14353.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_17829.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_2077.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_10755.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/ILSVRC2012_val_00027735.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_21784.jpeg,n02979186,n02979186,n03417042,n02979186
train/n02979186/n02979186_11769.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_25956.jpeg,n02979186,n02979186,n03445777,n03888257
train/n02979186/n02979186_14536.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13764.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_93.jpeg,n02979186,n02979186,n01440764,n03394916
train/n02979186/n02979186_13636.jpeg,n02979186,n02979186,n03000684,n02102040
train/n02979186/ILSVRC2012_val_00009833.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_26517.jpeg,n02979186,n02979186,n03028079,n02102040
train/n02979186/n02979186_6636.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_18057.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_17277.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3659.jpeg,n02979186,n02979186,n03394916,n03888257
train/n02979186/n02979186_15953.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_5695.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_21086.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/ILSVRC2012_val_00002034.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_465.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_14773.jpeg,n02979186,n03417042,n02979186,n02102040
train/n02979186/n02979186_16515.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_15305.jpeg,n02979186,n02979186,n03417042,n02102040
train/n02979186/n02979186_13019.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_10496.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3764.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2774.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_26283.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_19036.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3504.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_22929.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3873.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2316.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/ILSVRC2012_val_00029663.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_9646.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_11699.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_4526.jpeg,n02979186,n02979186,n02102040,n02979186
train/n02979186/n02979186_6218.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2887.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_21024.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13543.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_22037.jpeg,n02979186,n02979186,n03028079,n03394916
train/n02979186/n02979186_11863.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3428.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_13015.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_3525.jpeg,n02979186,n02979186,n03425413,n03028079
train/n02979186/n02979186_10523.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_15278.jpeg,n02979186,n02979186,n03888257,n03888257
train/n02979186/n02979186_18348.jpeg,n02979186,n02979186,n03425413,n03888257
train/n02979186/n02979186_22659.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_7536.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_14278.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_23078.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_2186.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_23329.jpeg,n02979186,n02979186,n03417042,n03394916
train/n02979186/n02979186_3345.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_7147.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_18069.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_16819.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_10744.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_15046.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2513.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_9153.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_13027.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_439.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_11543.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_12553.jpeg,n02979186,n02979186,n03445777,n01440764
train/n02979186/n02979186_2265.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_14758.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_6474.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_4598.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13206.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_26944.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_14767.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_5433.jpeg,n02979186,n02979186,n02102040,n02979186
train/n02979186/n02979186_14553.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_8089.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13626.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2549.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10437.jpeg,n02979186,n02979186,n03000684,n03000684
train/n02979186/n02979186_27619.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_9118.jpeg,n02979186,n02979186,n03888257,n03417042
train/n02979186/ILSVRC2012_val_00017463.jpeg,n03394916,n03000684,n02979186,n01440764
train/n02979186/n02979186_1115.jpeg,n02979186,n02979186,n03888257,n03445777
train/n02979186/n02979186_16275.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_20037.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_5079.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2964.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_449.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_7288.jpeg,n02979186,n02979186,n03000684,n02979186
train/n02979186/n02979186_15567.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11865.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_7468.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_4624.jpeg,n02979186,n03888257,n02979186,n03425413
train/n02979186/n02979186_4737.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_21725.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_27539.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_21029.jpeg,n02979186,n02979186,n03445777,n02102040
train/n02979186/n02979186_6096.jpeg,n02979186,n02979186,n03394916,n03425413
train/n02979186/n02979186_26997.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_1159.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_5807.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_5495.jpeg,n02979186,n02979186,n03445777,n03000684
train/n02979186/n02979186_5739.jpeg,n02979186,n02979186,n03000684,n02979186
train/n02979186/n02979186_16736.jpeg,n02979186,n02979186,n03425413,n03028079
train/n02979186/n02979186_19634.jpeg,n02979186,n02979186,n03394916,n03417042
train/n02979186/n02979186_19604.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2587.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_10874.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_22675.jpeg,n02979186,n02979186,n03000684,n03394916
train/n02979186/n02979186_20285.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_12025.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_14137.jpeg,n02979186,n02979186,n03417042,n03445777
train/n02979186/n02979186_25159.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_73.jpeg,n02979186,n03000684,n02979186,n02979186
train/n02979186/n02979186_15694.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13289.jpeg,n02979186,n02979186,n03000684,n01440764
train/n02979186/n02979186_20416.jpeg,n02979186,n02979186,n03394916,n03425413
train/n02979186/n02979186_9918.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_24829.jpeg,n02979186,n02979186,n03888257,n03417042
train/n02979186/n02979186_25129.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_2949.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_19337.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_577.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11713.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2488.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_4938.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11128.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13873.jpeg,n02979186,n02102040,n02979186,n03394916
train/n02979186/n02979186_24925.jpeg,n02979186,n02979186,n03445777,n02979186
train/n02979186/n02979186_9076.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_14067.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_1205.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_5337.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_7103.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_14958.jpeg,n02979186,n02979186,n03000684,n03888257
train/n02979186/n02979186_14403.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10036.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_7743.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11396.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_8449.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_2767.jpeg,n02979186,n02979186,n03445777,n02979186
train/n02979186/n02979186_13407.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_25887.jpeg,n02979186,n02979186,n03028079,n02979186
train/n02979186/n02979186_16193.jpeg,n02979186,n01440764,n02979186,n03028079
train/n02979186/n02979186_11953.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_14916.jpeg,n03888257,n02979186,n02979186,n02979186
train/n02979186/n02979186_26755.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_14279.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_17356.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_603.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_11675.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_15039.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13847.jpeg,n02979186,n03000684,n02979186,n03445777
train/n02979186/n02979186_1314.jpeg,n02979186,n02979186,n03888257,n02102040
train/n02979186/n02979186_10598.jpeg,n02979186,n02979186,n03417042,n02979186
train/n02979186/n02979186_4754.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_337.jpeg,n02979186,n02102040,n02979186,n02979186
train/n02979186/n02979186_11897.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/ILSVRC2012_val_00033397.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_15188.jpeg,n02979186,n02979186,n03417042,n03888257
train/n02979186/n02979186_12319.jpeg,n02979186,n02979186,n03445777,n02979186
train/n02979186/n02979186_6008.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_825.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10006.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_13669.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_6793.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11539.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_16408.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_12284.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_1626.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/ILSVRC2012_val_00049106.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_21438.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_4273.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_6176.jpeg,n02979186,n02979186,n03000684,n03417042
train/n02979186/n02979186_14735.jpeg,n02979186,n03445777,n02979186,n02979186
train/n02979186/n02979186_7.jpeg,n02979186,n02979186,n01440764,n02979186
